priority_score,name,openalex_id,h_index,i10_index,cited_by_count,works_count,2yr_mean_citedness,institution,institution_type,city,paper_count_in_window,top_paper_title,top_paper_link,venues,linkedin_search_url,google_scholar_url
100.0,Sercan Arik,conf:sercan arik:google,0,,,,,Google,company,,10,MLE-STAR: Machine Learning Engineering Agent via Search and Targeted Refinement,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Sercan+Arik+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Sercan+Arik%22
100.0,Dongsheng Li,conf:dongsheng li:microsoft research asia,0,,,,,Microsoft Research Asia,company,,10,MMInference: Accelerating Pre-filling for Long-Context Visual Language Models via Modality-Aware Permutation Sparse Attention,,ICLR 2025; ICML 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Dongsheng+Li+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Dongsheng+Li%22
100.0,Sanjiv Kumar,"conf:sanjiv kumar:google research, ny",0,,,,,"Google Research, NY",company,,10,Bipartite Ranking From Multiple Labels: On Loss Versus Label Aggregation,,ICLR 2025; ICML 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Sanjiv+Kumar+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Sanjiv+Kumar%22
100.0,Lijuan Wang,conf:lijuan wang:microsoft,0,,,,,Microsoft,company,,10,Can MLLMs Reason in Multimodality? EMMA: An Enhanced MultiModal ReAsoning Benchmark,,ICLR 2025; ICML 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Lijuan+Wang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Lijuan+Wang%22
100.0,Jianfeng Gao,conf:jianfeng gao:microsoft research,0,,,,,Microsoft Research,company,,10,DataGen: Unified Synthetic Dataset Generation via Large Language Models,,ICLR 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Jianfeng+Gao+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Jianfeng+Gao%22
90.0,Nouha Dziri,conf:nouha dziri:allen institute for ai,0,,,,,Allen Institute for AI,company,,9,Artificial Hivemind: The Open-Ended Homogeneity of Language Models (and Beyond),,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Nouha+Dziri+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Nouha+Dziri%22
90.0,Jianwei Yang,conf:jianwei yang:microsoft,0,,,,,Microsoft,company,,9,Struct2D: A Perception-Guided Framework for Spatial Reasoning in MLLMs,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Jianwei+Yang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Jianwei+Yang%22
90.0,Pablo Samuel Castro,conf:pablo samuel castro:google deepmind / u. de montreal / mila,0,,,,,Google DeepMind / U. de Montreal / Mila,company,,9,"Meta-World+: An Improved, Standardized, RL Benchmark",,ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Pablo+Samuel+Castro+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Pablo+Samuel+Castro%22
90.0,Jingjing Liu,conf:jingjing liu:microsoft,0,,,,,Microsoft,company,,9,DAPO: An Open-Source LLM Reinforcement Learning System at Scale,,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Jingjing+Liu+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Jingjing+Liu%22
90.0,Jiang Bian,conf:jiang bian:microsoft,0,,,,,Microsoft,company,,9,BRIDGE: Bootstrapping Text to Control Time-Series Generation via Multi-Agent Iterative Optimization and Diffusion Modeling,,ICLR 2025; ICML 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Jiang+Bian+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Jiang+Bian%22
90.0,Rishabh Agarwal,conf:rishabh agarwal:google deepmind,0,,,,,Google DeepMind,company,,9,Reward-Guided Prompt Evolving in Reinforcement Learning for LLMs,,ICLR 2025; ICML 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Rishabh+Agarwal+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Rishabh+Agarwal%22
90.0,Pin-Yu Chen,conf:pin-yu chen:ibm research ai,0,,,,,IBM Research AI,company,,9,Justice or Prejudice? Quantifying Biases in LLM-as-a-Judge,,ICLR 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Pin-Yu+Chen+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Pin-Yu+Chen%22
90.0,Song Han,conf:song han:mit / nvidia,0,,,,,MIT / NVIDIA,company,,9,VILA-U: a Unified Foundation Model Integrating Visual Understanding and Generation,,ICLR 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Song+Han+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Song+Han%22
80.0,Ravi Kumar,conf:ravi kumar:google,0,,,,,Google,company,,8,Private Hyperparameter Tuning with Ex-Post Guarantee,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Ravi+Kumar+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Ravi+Kumar%22
80.0,Jianfeng Gao,"conf:jianfeng gao:microsoft research, redmond, wa",0,,,,,"Microsoft Research, Redmond, WA",company,,8,GUI-Actor: Coordinate-Free Visual Grounding for GUI Agents,,NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Jianfeng+Gao+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Jianfeng+Gao%22
80.0,Qifan Wang,conf:qifan wang:meta ai,0,,,,,Meta AI,company,,8,Probabilistic Token Alignment for Large Language Model Fusion,,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Qifan+Wang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Qifan+Wang%22
80.0,Bo Dai,conf:bo dai:google deepmind &amp; georgia tech,0,,,,,Google DeepMind &amp; Georgia Tech,company,,8,REINFORCE Converges to Optimal Policies with Any Learning Rate,,ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Bo+Dai+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Bo+Dai%22
80.0,Hao Cheng,conf:hao cheng:microsoft research,0,,,,,Microsoft Research,company,,8,SAS: Simulated Attention Score,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Hao+Cheng+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Hao+Cheng%22
80.0,Zechun Liu,conf:zechun liu:meta,0,,,,,Meta,company,,8,RDD: Retrieval-Based Demonstration Decomposer for Planner Alignment in Long-Horizon Tasks,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Zechun+Liu+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Zechun+Liu%22
80.0,Kevin Lin,conf:kevin lin:microsoft,0,,,,,Microsoft,company,,8,Point-RFT: Improving Multimodal Reasoning with Visually Grounded Reinforcement Finetuning,,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Kevin+Lin+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Kevin+Lin%22
70.0,Qingwei Lin,conf:qingwei lin:microsoft research,0,,,,,Microsoft Research,company,,7,SWE-bench Goes Live!,,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Qingwei+Lin+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Qingwei+Lin%22
70.0,Pieter Abbeel,conf:pieter abbeel:uc berkeley &amp; amazon,0,,,,,UC Berkeley &amp; Amazon,company,,7,A Stable Whitening Optimizer for Efficient Neural Network Training,,NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Pieter+Abbeel+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Pieter+Abbeel%22
70.0,Jian Wang,conf:jian wang:snap inc.,0,,,,,Snap Inc.,company,,7,CF-VLM：CounterFactual Vision-Language Fine-tuning,,ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Jian+Wang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Jian+Wang%22
70.0,Luca Soldaini,conf:luca soldaini:allen institute for ai,0,,,,,Allen Institute for AI,company,,7,FlexOLMo: Open Language Models for Flexible Data Use,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Luca+Soldaini+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Luca+Soldaini%22
70.0,Mohammad Shoeybi,conf:mohammad shoeybi:nvidia,0,,,,,NVIDIA,company,,7,Efficient Hybrid Language Model Compression through Group-Aware SSM Pruning,,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Mohammad+Shoeybi+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Mohammad+Shoeybi%22
70.0,Zhiting Hu,conf:zhiting hu:xai / ucsd,0,,,,,xAI / UCSD,company,,7,Activation Control for Efficiently Eliciting Long Chain-of-thought Ability of Language Models,,NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Zhiting+Hu+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Zhiting+Hu%22
70.0,Jinsung Yoon,conf:jinsung yoon:google,0,,,,,Google,company,,7,MLE-STAR: Machine Learning Engineering Agent via Search and Targeted Refinement,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Jinsung+Yoon+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Jinsung+Yoon%22
70.0,Tomas Pfister,conf:tomas pfister:google,0,,,,,Google,company,,7,MLE-STAR: Machine Learning Engineering Agent via Search and Targeted Refinement,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Tomas+Pfister+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Tomas+Pfister%22
70.0,Fan Yang,"conf:fan yang:research, microsoft",0,,,,,"Research, Microsoft",company,,7,Reviving DSP for Advanced Theorem Proving in the Era of Reasoning Models,,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Fan+Yang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Fan+Yang%22
70.0,Inderjit Dhillon,conf:inderjit dhillon:google &amp; ut austin,0,,,,,Google &amp; UT Austin,company,,7,Scalable In-context Ranking with Generative Models,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Inderjit+Dhillon+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Inderjit+Dhillon%22
70.0,Linjie Li,conf:linjie li:microsoft,0,,,,,Microsoft,company,,7,Point-RFT: Improving Multimodal Reasoning with Visually Grounded Reinforcement Finetuning,,ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Linjie+Li+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Linjie+Li%22
70.0,Pierre Ablin,conf:pierre ablin:apple,0,,,,,Apple,company,,7,Scaling Laws for Optimal Data Mixtures,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Pierre+Ablin+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Pierre+Ablin%22
70.0,Pavlo Molchanov,conf:pavlo molchanov:nvidia research,0,,,,,NVIDIA Research,company,,7,"FeatSharp: Your Vision Model Features, Sharper",,ICLR 2025; ICML 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Pavlo+Molchanov+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Pavlo+Molchanov%22
70.0,Yuandong Tian,conf:yuandong tian:meta ai research,0,,,,,Meta AI Research,company,,7,SpinQuant: LLM Quantization with Learned Rotations,,ICLR 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Yuandong+Tian+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Yuandong+Tian%22
70.0,Ruoxi Sun,conf:ruoxi sun:google,0,,,,,Google,company,,7,BRIGHT: A Realistic and Challenging Benchmark for Reasoning-Intensive Retrieval,,ICLR 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Ruoxi+Sun+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Ruoxi+Sun%22
70.0,Haotian Tang,conf:haotian tang:google deepmind,0,,,,,Google DeepMind,company,,7,VILA-U: a Unified Foundation Model Integrating Visual Understanding and Generation,,ICLR 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Haotian+Tang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Haotian+Tang%22
60.0,Ben Van Durme,conf:ben van durme:johns hopkins / microsoft,0,,,,,Johns Hopkins / Microsoft,company,,6,Conformal Linguistic Calibration: Trading-off between Factuality and Specificity,,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Ben+Van+Durme+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Ben+Van+Durme%22
60.0,Chiyuan Zhang,conf:chiyuan zhang:google research,0,,,,,Google Research,company,,6,Private Hyperparameter Tuning with Ex-Post Guarantee,,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Chiyuan+Zhang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Chiyuan+Zhang%22
60.0,Shizhe Diao,conf:shizhe diao:nvidia,0,,,,,NVIDIA,company,,6,Nemotron-CLIMB: Clustering-based Iterative Data Mixture Bootstrapping for Language Model Pre-training,,ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Shizhe+Diao+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Shizhe+Diao%22
60.0,Huiqiang Jiang,conf:huiqiang jiang:microsoft research asia,0,,,,,Microsoft Research Asia,company,,6,Chain-of-Model Learning for Language Model,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Huiqiang+Jiang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Huiqiang+Jiang%22
60.0,David Abel,conf:david abel:google deepmind,0,,,,,Google DeepMind,company,,6,Enhancing Tactile-based Reinforcement Learning for Robotic Control,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+David+Abel+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22David+Abel%22
60.0,Song Han,"conf:song han:mit, nvidia",0,,,,,"MIT, NVIDIA",company,,6,Scaling RL to Long Videos,,NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Song+Han+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Song+Han%22
60.0,Ben Athiwaratkun,conf:ben athiwaratkun:together ai,0,,,,,Together AI,company,,6,Weaver: Shrinking the Generation-Verification Gap by Scaling Compute for Verification,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Ben+Athiwaratkun+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Ben+Athiwaratkun%22
60.0,Jie Chen,"conf:jie chen:mit-ibm watson ai lab, ibm research",0,,,,,"MIT-IBM Watson AI Lab, IBM Research",company,,6,Lessons Learned: A Multi-Agent Framework for Code LLMs to Learn and Improve,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Jie+Chen+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Jie+Chen%22
60.0,Beidi Chen,conf:beidi chen:cmu / amazon,0,,,,,CMU / Amazon,company,,6,Kinetics: Rethinking Test-Time Scaling Law,,ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Beidi+Chen+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Beidi+Chen%22
60.0,yelong shen,conf:yelong shen:microsoft,0,,,,,Microsoft,company,,6,SAS: Simulated Attention Score,,NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+yelong+shen+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22yelong+shen%22
60.0,Zifeng Wang,conf:zifeng wang:google,0,,,,,Google,company,,6,Heterogeneous Swarms: Jointly Optimizing Model Roles and Weights for Multi-LLM Systems,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Zifeng+Wang+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Zifeng+Wang%22
60.0,Yeyun Gong,conf:yeyun gong:microsoft,0,,,,,Microsoft,company,,6,PeRL: Permutation-Enhanced Reinforcement Learning for Interleaved Vision-Language Reasoning,,ICLR 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Yeyun+Gong+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Yeyun+Gong%22
60.0,Amit Sharma,conf:amit sharma:microsoft research,0,,,,,Microsoft Research,company,,6,Grammars of Formal Uncertainty: When to Trust LLMs in Automated Reasoning Tasks,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Amit+Sharma+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Amit+Sharma%22
60.0,Navdeep Jaitly,conf:navdeep jaitly:apple,0,,,,,Apple,company,,6,Flexible Language Modeling in Continuous Space with Transformer-based Autoregressive Flows,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Navdeep+Jaitly+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Navdeep+Jaitly%22
60.0,Aliaksandr Siarohin,conf:aliaksandr siarohin:snap inc.,0,,,,,Snap Inc.,company,,6,DenseDPO: Fine-Grained Temporal Preference Optimization for Video Diffusion Models,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Aliaksandr+Siarohin+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Aliaksandr+Siarohin%22
60.0,Ming-Yu Liu,conf:ming-yu liu:nvidia,0,,,,,NVIDIA,company,,6,Efficient Part-level 3D Object Generation via Dual Volume Packing,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Ming-Yu+Liu+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Ming-Yu+Liu%22
60.0,David Grangier,conf:david grangier:apple,0,,,,,Apple,company,,6,Scaling Laws for Optimal Data Mixtures,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+David+Grangier+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22David+Grangier%22
60.0,Wei Ping,conf:wei ping:nvidia,0,,,,,Nvidia,company,,6,AceReason-Nemotron: Advancing Math and Code Reasoning through Reinforcement Learning,,ICLR 2025; ICML 2025; NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Wei+Ping+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Wei+Ping%22
60.0,Sergey Tulyakov,conf:sergey tulyakov:snap inc.,0,,,,,Snap Inc.,company,,6,"I Think, Therefore I Diffuse: Enabling Multimodal In-Context Reasoning in Diffusion Models",,ICLR 2025; ICML 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Sergey+Tulyakov+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Sergey+Tulyakov%22
60.0,Amir Yazdanbakhsh,conf:amir yazdanbakhsh:google deepmind,0,,,,,Google DeepMind,company,,6,SparseLoRA: Accelerating LLM Fine-Tuning with Contextual Sparsity,,ICLR 2025; ICML 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Amir+Yazdanbakhsh+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Amir+Yazdanbakhsh%22
60.0,Marco Pavone,conf:marco pavone:nvidia,0,,,,,NVIDIA,company,,6,Cocoon: Robust Multi-Modal Perception with Uncertainty-Aware Sensor Fusion,,ICLR 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Marco+Pavone+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Marco+Pavone%22
60.0,Jakob Foerster,conf:jakob foerster:facebook ai research,0,,,,,Facebook AI Research,company,,6,Kinetix: Investigating the Training of General Agents through Open-Ended Physics-Based Control Tasks,,ICLR 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Jakob+Foerster+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Jakob+Foerster%22
60.0,Yilun Du,conf:yilun du:google deepmind,0,,,,,Google Deepmind,company,,6,Grounding Video Models to Actions through Goal Conditioned Exploration,,ICLR 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Yilun+Du+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Yilun+Du%22
60.0,Philipp Krähenbühl,conf:philipp krähenbühl:apple,0,,,,,Apple,company,,6,Cut Your Losses in Large-Vocabulary Language Models,,ICLR 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Philipp+Kr%C3%A4henb%C3%BChl+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Philipp+Kr%C3%A4henb%C3%BChl%22
60.0,Yao Lu,conf:yao lu:nvidia,0,,,,,NVidia,company,,6,VILA-U: a Unified Foundation Model Integrating Visual Understanding and Generation,,ICLR 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Yao+Lu+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Yao+Lu%22
50.0,Xiaoxiao Li,conf:xiaoxiao li:ubc / vector institute/ google,0,,,,,UBC / Vector Institute/ Google,company,,5,Global Prompt Refinement with Non-Interfering Attention Masking for One-Shot Federated Learning,,NeurIPS 2025,https://www.google.com/search?q=site%3Alinkedin.com%2Fin+Xiaoxiao+Li+reinforcement+learning+OR+machine+learning,https://scholar.google.com/scholar?q=author%3A%22Xiaoxiao+Li%22
